file_path,relative_path,filename,extension,language,category,size_bytes,modification_time,md5_hash,shebang,imports,apis_used,complexity,num_lines
/Users/steven/scripts/recovery.sh,scripts/recovery.sh,recovery.sh,.sh,Shell,AI/ML Tools,1364,2026-02-12T12:40:34.422417,991b21ce7908e16eed088fd668adaac2,#!/usr/bin/env bash,,,medium,47
/Users/steven/scripts/carbon-batch.sh,scripts/carbon-batch.sh,carbon-batch.sh,.sh,Shell,AI/ML Tools,1626,2026-02-12T12:40:38.161369,0e53becb673e19926f0f263af9fde000,#!/usr/bin/env bash,$HOME/.nvm/nvm.sh,,medium,55
/Users/steven/scripts/sign_packages.sh,scripts/sign_packages.sh,sign_packages.sh,.sh,Shell,AI/ML Tools,908,2026-02-12T12:40:30.027017,166aada6c6a1fc98757eef4769cf2a7e,#!/usr/bin/env bash,,,medium,36
/Users/steven/scripts/uninstall_embeddings.sh,scripts/uninstall_embeddings.sh,uninstall_embeddings.sh,.sh,Shell,AI/ML Tools,271,2025-09-03T06:42:18,65fa673bc855ea76938ff479f3699097,#!/usr/bin/env bash,,"LLAMA,OLLAMA",low,9
/Users/steven/scripts/regenerate_carbon.sh,scripts/regenerate_carbon.sh,regenerate_carbon.sh,.sh,Shell,AI/ML Tools,3969,2026-02-12T12:40:31.486896,d3246fb8f44bd03cc60c0282ea64759c,#!/usr/bin/env bash,,,high,137
/Users/steven/scripts/uninstall_safety.sh,scripts/uninstall_safety.sh,uninstall_safety.sh,.sh,Shell,AI/ML Tools,272,2025-09-03T06:42:18,052ea283aa992ce1d40e7775f5d42bbb,#!/usr/bin/env bash,,"GEMMA,LLAMA,OLLAMA",low,9
/Users/steven/scripts/schedule_updates.sh,scripts/schedule_updates.sh,schedule_updates.sh,.sh,Shell,AI/ML Tools,3893,2026-02-12T12:40:32.188827,d1ac3977478275d7cb9476bf3fdbaf64,#!/usr/bin/env bash,,,high,137
/Users/steven/scripts/debug_moving_files.sh,scripts/debug_moving_files.sh,debug_moving_files.sh,.sh,Shell,AI/ML Tools,1330,2026-02-12T12:40:32.045917,d704d8cca423ced75823216ff0c0b695,#!/usr/bin/env bash,,,medium,52
/Users/steven/scripts/carbon-automation.sh,scripts/carbon-automation.sh,carbon-automation.sh,.sh,Shell,AI/ML Tools,11011,2026-02-12T12:40:32.004110,702263e554ed63b345b0c0a75a1b3bf4,#!/usr/bin/env bash,,,high,370
/Users/steven/scripts/cleanup_system.sh,scripts/cleanup_system.sh,cleanup_system.sh,.sh,Shell,AI/ML Tools,1611,2026-02-12T12:40:29.437553,57f38c1331bff14f9b98d4025d8f01ca,#!/usr/bin/env bash,,,medium,73
/Users/steven/scripts/autotagger_launcher.sh,scripts/autotagger_launcher.sh,autotagger_launcher.sh,.sh,Shell,AI/ML Tools,930,2026-02-12T12:40:27.706091,c853794f8d2c73e0d265735d7de31fcb,#!/usr/bin/env bash,,,low,35
/Users/steven/scripts/fix_package_conflicts.sh,scripts/fix_package_conflicts.sh,fix_package_conflicts.sh,.sh,Shell,AI/ML Tools,3208,2026-02-12T12:40:25.901376,8264dac58bc63fadb1e9df71e8cf9f00,#!/usr/bin/env bash,,,high,115
/Users/steven/scripts/open_archive.sh,scripts/open_archive.sh,open_archive.sh,.sh,Shell,AI/ML Tools,590,2026-02-12T12:40:31.025207,602fcd3b75e83dae4e4b3a96705a7155,#!/usr/bin/env bash,,,low,23
/Users/steven/scripts/create_cleanup_csv.sh,scripts/create_cleanup_csv.sh,create_cleanup_csv.sh,.sh,Shell,AI/ML Tools,4715,2026-02-12T12:40:37.004901,7a2d1f8b9b2365140c1a96624a0cd374,#!/usr/bin/env bash,,,high,105
/Users/steven/scripts/ai-resource-manager.sh,scripts/ai-resource-manager.sh,ai-resource-manager.sh,.sh,Shell,AI/ML Tools,4186,2026-02-12T12:40:37.058699,eb1767a9358665acb2b538c40881af6d,#!/usr/bin/env bash,,,high,140
/Users/steven/scripts/setup_python_311.sh,scripts/setup_python_311.sh,setup_python_311.sh,.sh,Shell,AI/ML Tools,2683,2026-02-12T12:40:36.224151,cda34d18135926aa6999b36ca0853956,#!/usr/bin/env bash,,,medium,88
/Users/steven/scripts/install_general.sh,scripts/install_general.sh,install_general.sh,.sh,Shell,AI/ML Tools,566,2025-09-03T06:42:18,803895e54b318fc7a85bbcd0cfb46564,#!/usr/bin/env bash,,"MISTRAL,LLAMA,OLLAMA",low,16
/Users/steven/scripts/upscale.sh,scripts/upscale.sh,upscale.sh,.sh,Shell,AI/ML Tools,1588,2026-02-12T12:40:37.650691,19a23a578e8efef7e7782b4906f5e48a,#!/usr/bin/env bash,,,medium,53
/Users/steven/scripts/library_cleanup.sh,scripts/library_cleanup.sh,library_cleanup.sh,.sh,Shell,AI/ML Tools,3553,2026-02-12T12:40:29.202255,d1d914beb010d52b15e7361155c7cb6f,#!/usr/bin/env bash,,GOOGLE,medium,93
/Users/steven/scripts/setup_uv_project.sh,scripts/setup_uv_project.sh,setup_uv_project.sh,.sh,Shell,AI/ML Tools,2872,2026-02-12T12:40:26.143243,b338e849374040b71b6f7143dfb82ee5,#!/usr/bin/env bash,,MAKE,high,159
/Users/steven/scripts/system-resource-governor.sh,scripts/system-resource-governor.sh,system-resource-governor.sh,.sh,Shell,AI/ML Tools,1932,2026-02-12T12:40:26.016891,3526f06fdf9fd2d144b265a6c008b0f3,#!/usr/bin/env bash,,CLAUDE,medium,61
