FilePath,LineNumber,IssueType,Severity,Description,Suggestion,FileHash_SHA256,IsDuplicate,DuplicateOf
/Users/steven/scripts/advanced-system-maintenance-v5-guided.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,f3cab35ed2ff6c7cbbf6f72a359e74f4234091ad39a292b789cdfe732dc89c6b,false,
/Users/steven/scripts/preview-comprehensive-inventory-report.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,e9ff74d72f782baf0719e4cf583d3abc477766178a40bc024da807b510e0cfee,false,
/Users/steven/scripts/generate-marketmaster-complete-guide.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,660cd80399b81432b35e51f6cf7c9c9a8eebdc6d4e73ff5d13472437488408e8,false,
/Users/steven/scripts/restore-autotagger-environment-reference.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,6743d6aa3fc151b64e57ad4e8a413342c4dcf1596e37d6d08f8e2b32c03584f6,false,
/Users/steven/scripts/preview_intuitive_organization 2.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,cc761375677477773ba4e17c740f562cbe6da23f21a8b54bc84e60e61bbcb3b9,false,
/Users/steven/scripts/generate-check-grok-setup-full.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,1a4cd9e2888c2921024c717b3be1bbd90e4def23e9ab041fea01a512dd11559f,false,
/Users/steven/scripts/system-maintenance.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,46f527545b1beebcf8fe048e83a2ea46ff9b45468d04bd5df2ffea68bb0109b5,false,
/Users/steven/scripts/advanced-system-maintenance-v4.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,27e0ba07ea32359c3ddbe1aca4bb8ef230ce8f5114e5071c894cecb5ad9b64b5,false,
/Users/steven/scripts/analyze_scripts copy.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,b77241cc312878dface91c0bc8b0ae511ac3f87751ecd923f8fd670af49e8cde,false,
/Users/steven/scripts/open-marketmaster-navigation.sh,1,ErrorHandling,Warning,'set -e' or 'set -o errexit' is not enabled.,Add 'set -e' at the start.,e29d39ab4d5508f76671ddeb45eff43d84417d7ef331b362dc8545d1a87908c8,false,
